Player,Squad,Age,MP,Gls,Ast,PK,PKatt,CrdY,CrdR,Glsp90,Astp90,GnPKp90,xG,npxG,xA,xGp90,xAp90,npxGp90,CmpPct,TotDist,PrgDist,SCmpPct,MCmpPct,LCmpPct,KP,DrbSuccPct,Tkl,TklW,Blocks,Int,Clr,Err,Pos,Sh,SoT,SoTp90
Patrick van Aanholt,Crystal Palace,26,28,5,1,0,0,7,0,0.21,0.04,0.21,3.4,3.4,1.7,0.14,0.07,0.14,75.7,15182,7109,33.3,85.5,56.6,17,65.4,48,30,36,54,56,2,DF,33,12,0.49
Rolando Aarons,Newcastle Utd,21,4,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.09,0,0.09,65.9,408,88,25,75.8,25,0,66.7,5,4,4,1,0,0,"FW,MF",2,0,0
Tammy Abraham,Swansea City,19,31,5,1,0,0,0,0,0.26,0.05,0.26,6.4,6.4,0.8,0.34,0.04,0.34,67.3,3094,683,33.3,74.2,52.2,10,57.8,11,5,12,1,7,0,"FW,MF",43,14,0.73
Charlie Adam,Stoke City,31,11,0,0,0,1,2,1,0,0,0,1.4,0.6,1.4,0.3,0.32,0.13,60.1,4382,1565,0,80.9,48.4,7,87.5,9,5,5,8,9,0,MF,9,2,0.44
Adrián,West Ham,30,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,43.5,8869,6770,,97.4,38.3,0,,0,0,0,1,1,0,GK,0,0,0
Ibrahim Afellay,Stoke City,31,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86.4,1374,220,,88.3,81,0,100,2,2,1,1,0,0,MF,0,0,0
Benik Afobe,Bournemouth,24,17,0,0,0,0,0,0,0,0,0,1.5,1.5,0.1,0.26,0.01,0.26,73.1,1270,143,41.7,76.2,72.7,2,80,4,3,11,1,6,0,"FW,MF",8,3,0.44
Sergio Agüero,Manchester City,29,25,21,6,4,4,2,0,0.96,0.28,0.78,16.8,13.7,6.4,0.77,0.29,0.63,81.9,6771,1148,42.9,86.2,78,37,60.8,8,5,14,8,4,0,FW,92,38,1.74
Nathan Aké,Bournemouth,22,38,2,3,0,0,5,0,0.05,0.08,0.05,2.4,2.4,1.9,0.07,0.05,0.07,82,27857,10035,34.4,86.3,76.8,7,83.3,50,27,68,52,201,1,DF,21,8,0.21
Marc Albrighton,Leicester City,27,34,2,7,0,0,5,1,0.07,0.25,0.07,1.6,1.6,4.7,0.05,0.17,0.05,59.3,15729,6874,21.1,78.4,40,42,61.2,49,30,48,35,25,0,"MF,FW",21,6,0.21
