Player,Squad,Age,MP,GA,GA90,SoTA,Saves,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Adrián,West Ham,30,19,29,1.53,95,68,7,6,6,6,31.6,1,1,0,0
Asmir Begović,Bournemouth,30,38,61,1.61,173,114,11,11,16,6,15.8,4,2,1,1
Claudio Bravo,Manchester City,34,3,1,0.4,5,4,2,0,0,1,50,0,0,0,0
Jack Butland,Stoke City,24,35,61,1.74,198,144,7,11,17,6,17.1,5,5,0,0
Willy Caballero,Chelsea,35,3,4,1.33,11,7,1,1,1,1,33.3,0,0,0,0
Petr Čech,Arsenal,35,34,48,1.42,129,86,16,6,12,11,32.4,6,5,1,0
Thibaut Courtois,Chelsea,25,35,34,0.97,103,73,20,6,9,15,42.9,2,2,0,0
Karl Darlow,Newcastle Utd,26,10,15,1.5,43,32,1,5,4,2,20,3,3,0,0
Martin Dúbravka,Newcastle Utd,28,12,11,0.92,37,26,6,1,5,4,33.3,1,0,1,0
Ederson,Manchester City,23,36,26,0.73,79,54,30,4,2,16,44.4,3,0,2,1
Rob Elliot,Newcastle Utd,31,16,21,1.31,62,43,5,2,9,3,18.8,2,1,1,0
Łukasz Fabiański,Swansea City,32,38,56,1.47,191,140,8,9,21,9,23.7,7,3,3,1
Fraser Forster,Southampton,29,20,30,1.5,96,66,4,7,9,4,20,1,0,1,0
Ben Foster,West Brom,34,37,55,1.49,152,99,6,12,19,10,27,1,1,0,0
Paulo Gazzaniga,Tottenham,25,1,0,0,3,3,1,0,0,1,100,0,0,0,0
David de Gea,Manchester Utd,26,37,28,0.76,140,115,24,6,7,18,48.6,1,1,0,0
Heurelho Gomes,Watford,36,24,40,1.69,98,62,7,5,12,5,20.8,3,3,0,0
Lee Grant,Stoke City,34,3,7,2.33,14,7,0,1,2,1,33.3,0,0,0,0
Ben Hamer,Leicester City,29,4,7,2.29,13,7,0,1,2,1,33.3,1,1,0,0
Joe Hart,West Ham,30,19,39,2.05,88,53,3,6,10,4,21.1,5,4,1,0
Tom Heaton,Burnley,31,4,4,1.18,13,9,1,1,1,0,0,0,0,0,0
Wayne Hennessey,Crystal Palace,30,27,41,1.52,128,90,8,6,13,7,25.9,1,1,0,0
Eldin Jakupović,Leicester City,32,2,6,3,13,8,1,0,1,0,0,0,0,0,0
Loris Karius,Liverpool,24,19,14,0.74,42,30,11,5,3,10,52.6,3,2,1,0
Orestis Karnezis,Watford,32,15,24,1.67,52,31,4,3,7,4,28.6,3,3,0,0
Hugo Lloris,Tottenham,30,36,35,0.97,120,86,22,7,7,15,41.7,3,2,1,0
Jonas Lössl,Huddersfield,28,38,57,1.5,154,101,9,10,19,10,26.3,6,4,2,0
Alex McCarthy,Southampton,27,18,26,1.44,64,39,3,8,7,4,22.2,1,1,0,0
Simon Mignolet,Liverpool,29,19,24,1.26,57,35,10,7,2,7,36.8,3,2,1,0
Boaz Myhill,West Brom,34,1,1,1,3,2,0,1,0,0,0,0,0,0,0
David Ospina,Arsenal,28,5,3,0.71,14,11,3,0,1,2,50,0,0,0,0
Jordan Pickford,Everton,23,38,58,1.53,176,121,13,10,15,10,26.3,5,3,1,1
Nick Pope,Burnley,25,35,35,1.01,149,117,13,11,11,11,32.4,5,3,1,1
Sergio Romero,Manchester Utd,30,1,0,0,4,4,1,0,0,1,100,0,0,0,0
Mathew Ryan,Brighton,25,38,54,1.42,170,120,9,13,16,10,26.3,3,1,2,0
Kasper Schmeichel,Leicester City,30,33,47,1.43,135,90,11,10,12,8,24.2,3,1,2,0
Julián Speroni,Crystal Palace,38,11,14,1.27,40,27,3,5,3,2,18.2,1,1,0,0
Michel Vorm,Tottenham,33,1,1,1,4,4,0,1,0,0,0,0,0,0,0
